id,rs,mvol,bd,porosity,clay,org,ra,paper,climate,vegetation,treatment,hydro_alpha,hydro_n,hydro_thetaS,hydro_thetaR,mp
droughtPE5,0.15,0.07,1.43,0.460377358,0.24,0.012,0.333333333,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,20396.27291
droughtPE5,0.17,0.08,1.43,0.460377358,0.24,0.012,0.459898006,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,12866.92427
droughtPE5,0.15,0.07,1.43,0.460377358,0.24,0.012,0.140009272,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,18151.98812
droughtPE5,0.17,0.08,1.43,0.460377358,0.24,0.012,0.271673621,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,12866.92427
droughtPE5,0.2,0.09,1.43,0.460377358,0.24,0.012,0.339360223,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,8205.614479
droughtPE5,0.19,0.09,1.43,0.460377358,0.24,0.012,0.532684284,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,10186.41306
droughtPE5,0.23,0.11,1.43,0.460377358,0.24,0.012,0.277236903,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5556.139025
droughtPE5,0.23,0.11,1.43,0.460377358,0.24,0.012,0.471488178,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5908.727919
droughtPE5,0.25,0.11,1.43,0.460377358,0.24,0.012,0.700509968,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,4653.22791
droughtPE5,0.27,0.13,1.43,0.460377358,0.24,0.012,0.313398238,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,3536.974401
droughtPE5,0.28,0.13,1.43,0.460377358,0.24,0.012,0.638850255,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,3190.119302
droughtPE5,0.3,0.14,1.43,0.460377358,0.24,0.012,0.542883635,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2749.330555
droughtPE5,0.33,0.15,1.43,0.460377358,0.24,0.012,0.318961521,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1991.941074
droughtPE5,0.36,0.16,1.43,0.460377358,0.24,0.012,0.483541956,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1610.814505
droughtPE5,0.33,0.15,1.43,0.460377358,0.24,0.012,0.675475197,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2081.819498
droughtPE5,0.43,0.2,1.43,0.460377358,0.24,0.012,1,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,894.4949403
droughtPE5,0.37,0.17,1.43,0.460377358,0.24,0.012,0.874362541,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1426.648128
droughtPE5,0.43,0.2,1.43,0.460377358,0.24,0.012,0.879462216,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,943.3310327
droughtPE5,0.48,0.22,1.43,0.460377358,0.24,0.012,0.949003245,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,669.6610802
droughtPE5,0.46,0.21,1.43,0.460377358,0.24,0.012,0.331015299,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,740.1370111
droughtPE5,0.58,0.27,1.43,0.460377358,0.24,0.012,0.73110802,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,358.4919508
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.206896552,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,19570.25083
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.206896552,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,20396.27291
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.413793103,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,19570.25083
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.068965517,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,20396.27291
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.310344828,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,21270.03342
droughtPE7,0.15,0.07,1.43,0.460377358,0.24,0.012,0.137931034,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,21184.74746
droughtPE7,0.16,0.08,1.43,0.460377358,0.24,0.012,0.103448276,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,14956.86376
droughtPE7,0.19,0.09,1.43,0.460377358,0.24,0.012,0.482758621,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,10020.64838
droughtPE7,0.18,0.08,1.43,0.460377358,0.24,0.012,0.310344828,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,11266.47633
droughtPE7,0.2,0.09,1.43,0.460377358,0.24,0.012,0.206896552,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,9124.872368
droughtPE7,0.23,0.11,1.43,0.460377358,0.24,0.012,0.413793103,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,5740.043392
droughtPE7,0.25,0.11,1.43,0.460377358,0.24,0.012,0.551724138,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,4713.496027
droughtPE7,0.3,0.14,1.43,0.460377358,0.24,0.012,0.379310345,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2736.369679
droughtPE7,0.31,0.14,1.43,0.460377358,0.24,0.012,0.482758621,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,2394.060805
droughtPE7,0.35,0.16,1.43,0.460377358,0.24,0.012,0.689655172,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1739.494644
droughtPE7,0.43,0.2,1.43,0.460377358,0.24,0.012,1,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,894.4949403
droughtPE7,0.34,0.16,1.43,0.460377358,0.24,0.012,0.827586207,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1843.507044
droughtPE7,0.41,0.19,1.43,0.460377358,0.24,0.012,0.517241379,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1100.78757
droughtPE7,0.41,0.19,1.43,0.460377358,0.24,0.012,0.206896552,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1075.935905
droughtPE7,0.41,0.19,1.43,0.460377358,0.24,0.012,0.620689655,Liu,tropical,savanna,drought,0.0078,1.5494,0.48,0,1051.785878
Exclu,0.15,0.07,1.47,0.445283019,0.1,0.0233,0.011263409,Nie,semi_arid,grassland,control,0.0072,1.5652,0.4,0,11436.40744
